DAY 1 ,Morning departure from Delhi to Shimla. & Night stay at Shimla.,
DAY 2 ,"Check-out & visit kufri, mall road. Overnight journey to Kasol's Manalikaran.",
DAY 3 ,"After Kasol-kullu-Manali (check-in) & Local visit (Vashisth, Hadimba, Mall road) & night stay at Manali.",
DAY 4 ,Early morning start to Solang & Atal exit (if its open) & night stay at Manali. ,
DAY 5 ,Check-out & start to Delhi via Kullu rafting & paragliding point. Overnight journey to New Delhi.,
DAY 6 , Arrival in Delhi hotel (check in)& Fresh up Any 4 Locations in delhi & stay at delhi, 
DAY 7,Check out and start for Agra's Taj Mahal.Drop at Railway station in agra ,
