DAY 1 ,Morning departure from Delhi to Manali. & Night stay at Manali.
DAY 2 ,"Local visit (Vashisth, Hadimba, Mall road) & night stay at Manali."
DAY 3 ,Early morning start to Solang & Atal exit (if its open) & night stay at Manali. 
DAY 4 ,Check-out & start to Kasol via Kullu rafting & paragliding point. Stay at Kasol/Bhuntar
DAY 5 ,Checkout and Travel to Amritsar via  paragliding at Birbilling and then Stay at Amritsar.
DAY 6 ,Check out and visit golden temple and Wagah Border overnight journey to Delhi 
DAY 7,Early morning drop at New Delhi. 
