DAY 1 ,Night departure from Delhi to Manali 
DAY 2 ,"Manali (check-in) & Local visit (Vashisth, Hadimba, Mall road) & night stay at Manali."
DAY 3 ,Early morning start to Solang & Atal exit (if its open) & night stay at Manali. 
DAY 4 ,Checkout and Travel to kullu for Rafting and paragliding at Birbilling and then Stay at mcleodganj/ Dharamshala.
DAY 5 ,"Visit Bhagsunag Temple & water falls, Cricket stadium, British church and then journey & Stay At Amritsar "
DAY 6 ,Check out and visit golden temple and then attend Wagah Border Ceremony & overnight journey to Delhi 
DAY 7,Early morning drop at New Delhi. 
