DAY 1 ,Morning departure from Delhi to Shimla. & Night stay at Shimla.
DAY 2 ,"Check-out & visit kufri, mall road. Overnight journey to Kasol's Manalikaran."
DAY 3 ,"After Kasol Travel to kullu for Rafting-Manali (check-in) & Local visit (Vashisth, Hadimba, Mall road) & night stay at Manali."
DAY 4 ,Early morning start to Solang & Atal exit (if its open) & night stay at Manali. 
DAY 5 ,Checkout and proceed to Birbilling for Paragliding  and then Stay at mcleodganj/ Dharamshala.
DAY 6 ,"Visit Bhagsunag Temple & water falls, Cricket stadium, British church and then journey & Stay At Amritsar "
DAY 7,Check out and visit golden temple and Wagah Border overnight journey to Delhi 
DAY 8,Early morning drop at New Delhi. 
