DAY 1 ,Morning departure from Delhi to mcleodganj and night stay at Mcleodganj
DAY 2 ,Visit Bhagsunag Temple & Water Falls & Start to Triund Trek & Camping under the sky 
DAY 3 ,"Return From Triund Trek, visit British church, Dharmashala Cricket Stadium & Stay at  Manali "
DAY 4 ,Early morning start to Solang valley & Atal tunnel exit (if it's open) & night stay at Manali 
DAY 5 ,check out and travel to kullu Rafting and Paragliding point and Overnight journey to Delhi 
DAY 6 ,Early morning drop at Delhi
